code,county_id,elevation,id,lat,lon,name,state_abbr
113335,1855,246.9,227,41.1744,-90.0356,GALVA,IL
113879,2523,111.3,228,37.7408,-88.5244,HARRISBURG,IL
114108,905,192.0,229,39.15,-89.4833,HILLSBORO,IL
114198,2153,216.4,230,40.4744,-87.6561,HOOPESTON 1 NE,IL
114442,2160,185.9,231,39.7347,-90.1978,JACKSONVILLE 2E,IL
114823,592,210.3,232,40.5839,-90.9686,LA HARPE,IL
115079,2631,177.7,233,40.1514,-89.3381,LINCOLN,IL
115326,2952,248.4,234,42.2928,-88.6469,MARENGO,IL
115515,1338,135.9,235,38.0844,-88.5425,MCLEANSBORO,IL
115712,1922,228.6,236,40.9125,-89.0339,MINONK,IL
115768,2277,227.1,237,40.9247,-90.6392,MONMOUTH,IL
115833,2623,183.8,238,41.8039,-89.9744,MORRISON,IL
115901,2987,195.1,239,42.0981,-89.9842,MT CARROLL,IL
115943,2640,149.4,240,38.3483,-88.8533,MT VERNON 3 NE,IL
116446,1246,146.3,241,38.7003,-88.0819,OLNEY 2S,IL
116526,2076,160.0,242,41.3283,-88.9106,OTTAWA 5SW,IL
116558,794,140.2,243,39.0028,-87.6225,PALESTINE,IL
116610,2702,207.3,244,39.6356,-87.6933,PARIS WTR WKS,IL
116738,1921,198.1,245,39.8058,-90.8236,PERRY 6 NW,IL
116910,1632,198.1,246,40.8853,-88.6389,PONTIAC,IL
117551,1436,201.2,247,40.1158,-90.5608,RUSHVILLE,IL
118147,1911,163.1,248,38.1167,-89.7167,SPARTA 1 W,IL
118740,2700,219.8,249,40.0839,-88.2403,URBANA,IL
118916,786,210.3,250,41.5519,-89.5989,WALNUT,IL
119241,1866,176.8,251,39.4411,-90.3789,WHITE HALL 1 E,IL
119354,1977,210.3,252,39.4381,-88.5986,WINDSOR,IL
120177,2855,257.6,253,40.1122,-85.7175,ANDERSON SEWAGE PLT,IN
120200,40,307.8,254,41.6397,-84.9897,ANGOLA,IN
120676,3042,265.2,255,40.6683,-84.9305,BERNE WWTP,IN
120784,2823,253.0,256,39.1742,-86.5214,BLOOMINGTON IN UNIV,IN
121030,925,192.0,257,39.4239,-85.0128,BROOKVILLE,IN
121229,519,304.8,258,39.8667,-85.1833,CAMBRIDGE CITY 3 N,IN
121425,1750,167.6,259,38.4833,-85.7,CHARLESTOWN 5 NNW,IN
121747,967,189.3,260,39.1978,-85.9211,COLUMBUS,IN
121873,1005,256.0,261,40.0028,-86.8011,CRAWFORDSVILLE 6 SE,IN
122149,991,169.5,262,40.615,-86.6661,DELPHI 2 N,IN
123418,1600,266.7,263,41.5575,-85.8825,GOSHEN 3SW,IN
123513,2866,224.0,264,39.6439,-86.8767,GREENCASTLE 1 W,IN
123527,224,263.7,265,39.7858,-85.7611,GREENFIELD,IN
124008,838,195.1,266,41.5422,-87.2881,HOBART 2 WNW,IN
124181,62,221.0,267,40.8556,-85.4981,HUNTINGTON,IN
124837,135,257.6,268,41.6117,-86.7297,LAPORTE,IN
125237,1591,140.2,269,38.7369,-85.3942,MADISON SEWAGE PLT,IN
125337,1851,240.8,270,40.58,-85.6586,MARION 2 N,IN
126001,855,108.8,271,37.9286,-87.8956,MT VERNON,IN
126580,3138,198.1,272,38.8894,-86.5519,OOLITIC PURDUE EX FRM,IN
126705,672,170.7,273,38.5556,-86.4858,PAOLI,IN
127125,1021,146.3,274,38.3567,-87.5906,PRINCETON 1 W,IN
127298,38,198.1,275,40.9356,-87.1564,RENSSELAER,IN
127482,1264,234.7,276,41.0658,-86.2094,ROCHESTER,IN
127522,2964,211.2,277,39.7594,-87.2269,ROCKVILLE,IN
127646,1387,292.6,278,39.6042,-85.4528,RUSHVILLE,IN
127755,3062,243.8,279,38.6111,-86.0889,SALEM,IN
127875,810,173.7,280,38.6886,-85.785,SCOTTSBURG,IN
127935,494,173.7,281,38.9822,-85.9822,SEYMOUR 2 N,IN
128036,2774,154.2,282,38.5528,-86.7944,SHOALS 8 S,IN
129080,2073,150.9,283,38.7436,-85.0761,VEVAY,IN
129113,1715,137.2,284,38.7386,-87.4878,VINCENNES 5 NE,IN
129253,472,152.4,285,38.6489,-87.1989,WASHINGTON 1 W,IN
129511,38,202.7,286,41.1947,-87.0578,WHEATFIELD,IN
129557,2317,289.0,287,39.9961,-86.3542,WHITESTOWN,IN
129670,1685,210.3,288,41.0267,-86.5867,WINAMAC 2SSE,IN
130112,2744,268.2,289,41.0656,-92.7867,ALBIA 3 NNE,IA
130133,764,377.6,290,43.0683,-94.3053,ALGONA 3 W,IA
130600,1209,246.9,291,41.8814,-92.2764,BELLE PLAINE,IA
131402,2098,309.1,292,43.0775,-92.6714,CHARLES CITY,IA
131533,2283,298.7,293,40.7244,-95.0192,CLARINDA,IA
131635,112,178.3,294,41.7947,-90.2639,CLINTON #1,IA
132724,2451,396.8,295,43.43,-94.8219,ESTHERVILLE 2 N,IA
132789,748,225.6,296,41.0211,-91.9553,FAIRFIELD,IA
132864,1067,344.4,297,42.8503,-91.8158,FAYETTE,IA
132977,3195,396.2,298,43.2844,-93.6306,FOREST CITY 2 NNE,IA
132999,743,347.5,299,42.5836,-94.2006,FORT DODGE 5NNW,IA
134063,1071,287.1,300,41.3656,-93.6481,INDIANOLA 2W,IA
134142,2185,344.4,301,42.5189,-93.2536,IOWA FALLS,IA
134735,2222,364.2,302,42.7817,-96.1458,LE MARS,IA
134894,741,301.8,303,41.6381,-95.7883,LOGAN,IA
135769,834,359.7,304,40.7053,-94.2428,MT AYR,IA
135796,2675,222.5,305,40.9486,-91.5647,MT PLEASANT 1 SSW,IA
135952,1124,349.9,306,43.0453,-92.3122,NEW HAMPTON,IA
137147,2669,411.5,307,43.43,-96.1686,ROCK RAPIDS,IA
137161,799,364.2,308,42.3969,-94.6292,ROCKWELL CITY,IA
137979,1470,434.3,309,42.6347,-95.1694,STORM LAKE 2 E,IA
138296,2742,289.3,310,42.0356,-92.5806,TOLEDO 3N,IA
138688,3050,210.3,311,41.2828,-91.7067,WASHINGTON,IA
140264,2686,408.4,312,37.155,-98.0283,ANTHONY,KS
140365,2436,600.5,313,37.1942,-99.7633,ASHLAND,KS
140405,1315,288.0,314,39.5756,-95.1108,ATCHISON,KS
141704,1572,634.9,315,37.2706,-99.3272,COLDWATER,KS
141740,1274,275.8,316,37.1764,-94.8397,COLUMBUS,KS
141867,2078,402.3,317,38.6758,-96.5097,COUNCIL GROVE LAKE,KS
142401,201,393.2,318,37.8183,-96.8444,EL DORADO,KS
142459,2835,466.3,319,38.7278,-98.2267,ELLSWORTH,KS
142835,1823,257.6,320,37.8428,-94.7086,FT SCOTT,KS
143527,727,612.6,321,38.8586,-99.3358,HAYS 1 S,KS
143810,323,313.9,322,39.6703,-95.5225,HORTON,KS
143954,2612,245.4,323,37.2364,-95.7003,INDEPENDENCE,KS
144087,2838,740.7,324,38.1964,-99.9181,JETMORE 8NNW,KS
144464,2821,913.8,325,37.9411,-101.2492,LAKIN,KS
144530,251,608.1,326,38.1817,-99.0994,LARNED,KS
