elevation,lat,lon,yield,yield_binned,color,ndx,soil,links,slopes
1630.5774,41.253888,-97.144334,81,2,#CB181D,7698,Butler silt loam,http://casoilresource.lawr.ucdavis.edu/soil_web/ssurgo.php?action=explain_mapunit&query_scale=500000&mukey=1691270&ogc_fid=3816289,0 to 1 percent slopes
1627.6247,41.253786,-97.144384,90,2,#CB181D,7884,Butler silt loam,http://casoilresource.lawr.ucdavis.edu/soil_web/ssurgo.php?action=explain_mapunit&query_scale=500000&mukey=1691270&ogc_fid=3816289,0 to 1 percent slopes
1627.6247,41.253756,-97.144384,96,2,#CB181D,7885,Butler silt loam,http://casoilresource.lawr.ucdavis.edu/soil_web/ssurgo.php?action=explain_mapunit&query_scale=500000&mukey=1691270&ogc_fid=3816289,0 to 1 percent slopes
1627.6247,41.252505,-97.144906,94,2,#CB181D,8073,Olbut-Butler silt loams,http://casoilresource.lawr.ucdavis.edu/soil_web/ssurgo.php?action=explain_mapunit&query_scale=500000&mukey=1691306&ogc_fid=3816648,0 to 1 percent slopes
1627.6247,41.252602,-97.144909,77,2,#CB181D,8076,Butler silt loam,http://casoilresource.lawr.ucdavis.edu/soil_web/ssurgo.php?action=explain_mapunit&query_scale=500000&mukey=1691270&ogc_fid=3816289,0 to 1 percent slopes
1626.3123,41.253359,-97.14459599999999,92,2,#CB181D,8198,Butler silt loam,http://casoilresource.lawr.ucdavis.edu/soil_web/ssurgo.php?action=explain_mapunit&query_scale=500000&mukey=1691270&ogc_fid=3816289,0 to 1 percent slopes
1625.9843,41.253333000000005,-97.144595,88,2,#CB181D,8199,Butler silt loam,http://casoilresource.lawr.ucdavis.edu/soil_web/ssurgo.php?action=explain_mapunit&query_scale=500000&mukey=1691270&ogc_fid=3816289,0 to 1 percent slopes
1625.3281,41.252749,-97.144858,89,2,#CB181D,8386,Butler silt loam,http://casoilresource.lawr.ucdavis.edu/soil_web/ssurgo.php?action=explain_mapunit&query_scale=500000&mukey=1691270&ogc_fid=3816289,0 to 1 percent slopes
1627.6247,41.253235,-97.14464699999999,78,2,#CB181D,8508,Butler silt loam,http://casoilresource.lawr.ucdavis.edu/soil_web/ssurgo.php?action=explain_mapunit&query_scale=500000&mukey=1691270&ogc_fid=3816289,0 to 1 percent slopes
1627.6247,41.253212,-97.14464699999999,88,2,#CB181D,8509,Butler silt loam,http://casoilresource.lawr.ucdavis.edu/soil_web/ssurgo.php?action=explain_mapunit&query_scale=500000&mukey=1691270&ogc_fid=3816289,0 to 1 percent slopes
1625.6562,41.252789,-97.144806,90,2,#CB181D,8731,Butler silt loam,http://casoilresource.lawr.ucdavis.edu/soil_web/ssurgo.php?action=explain_mapunit&query_scale=500000&mukey=1691270&ogc_fid=3816289,0 to 1 percent slopes
1625.6562,41.252819,-97.144805,78,2,#CB181D,8732,Butler silt loam,http://casoilresource.lawr.ucdavis.edu/soil_web/ssurgo.php?action=explain_mapunit&query_scale=500000&mukey=1691270&ogc_fid=3816289,0 to 1 percent slopes
1628.9370000000001,41.254814,-97.144818,77,2,#CB181D,8797,Butler silt loam,http://casoilresource.lawr.ucdavis.edu/soil_web/ssurgo.php?action=explain_mapunit&query_scale=500000&mukey=1691270&ogc_fid=3816289,0 to 1 percent slopes
1628.9370000000001,41.254882,-97.144703,73,2,#CB181D,8803,Butler silt loam,http://casoilresource.lawr.ucdavis.edu/soil_web/ssurgo.php?action=explain_mapunit&query_scale=500000&mukey=1691270&ogc_fid=3816289,0 to 1 percent slopes
1625.9843,41.25312,-97.144701,80,2,#CB181D,8869,Butler silt loam,http://casoilresource.lawr.ucdavis.edu/soil_web/ssurgo.php?action=explain_mapunit&query_scale=500000&mukey=1691270&ogc_fid=3816289,0 to 1 percent slopes
1625.9843,41.253095,-97.144701,79,2,#CB181D,8870,Butler silt loam,http://casoilresource.lawr.ucdavis.edu/soil_web/ssurgo.php?action=explain_mapunit&query_scale=500000&mukey=1691270&ogc_fid=3816289,0 to 1 percent slopes
1625.9843,41.253071000000006,-97.144701,97,2,#CB181D,8871,Butler silt loam,http://casoilresource.lawr.ucdavis.edu/soil_web/ssurgo.php?action=explain_mapunit&query_scale=500000&mukey=1691270&ogc_fid=3816289,0 to 1 percent slopes
