,lat,lon,yld,yld_ordinal,elevation,mukey,soil
2717,41.252801956521736,-97.14300256521739,184.93108904785703,4.0,1630.2493,1691270,"Butler silt loam, 0 to 1 percent slopes"
2718,41.252801956521736,-97.14291510144928,185.3965589045291,5.0,1628.6089,1691270,"Butler silt loam, 0 to 1 percent slopes"
2719,41.252801956521736,-97.14282763768117,186.80326201207015,5.0,1627.2966,1691270,"Butler silt loam, 0 to 1 percent slopes"
2720,41.252801956521736,-97.14274017391304,189.24984552786208,5.0,1627.6247,1691270,"Butler silt loam, 0 to 1 percent slopes"
2721,41.252801956521736,-97.14265271014493,191.7192885975944,5.0,1626.6404,1691270,"Butler silt loam, 0 to 1 percent slopes"
2722,41.252801956521736,-97.14256524637682,193.80817369214975,5.0,1623.6877,1691270,"Butler silt loam, 0 to 1 percent slopes"
2723,41.252801956521736,-97.1424777826087,195.83192553961342,6.0,1629.2651,1691270,"Butler silt loam, 0 to 1 percent slopes"
2724,41.252801956521736,-97.14239031884058,197.66905858450642,6.0,1625.6562,1691287,"Hastings silty clay loam, 7 to 11 percent slopes, eroded"
2725,41.252801956521736,-97.14230285507246,198.6279800956012,6.0,1622.7034,1691287,"Hastings silty clay loam, 7 to 11 percent slopes, eroded"
2726,41.252801956521736,-97.14221539130435,198.11880902142892,6.0,1623.0315,1691287,"Hastings silty clay loam, 7 to 11 percent slopes, eroded"
2727,41.252801956521736,-97.14212792753624,198.02988988512226,6.0,1622.7034,1691287,"Hastings silty clay loam, 7 to 11 percent slopes, eroded"
2728,41.252801956521736,-97.14204046376811,199.12710858088016,6.0,1620.4068,1691287,"Hastings silty clay loam, 7 to 11 percent slopes, eroded"
2731,41.252877086956524,-97.14790053623189,185.26322770165606,4.0,1626.9685,1691306,"Olbut-Butler silt loams, 0 to 1 percent slopes"
2732,41.252877086956524,-97.14781307246376,185.21888679138436,4.0,1625.6562,1691306,"Olbut-Butler silt loams, 0 to 1 percent slopes"
2733,41.252877086956524,-97.14772560869565,184.51287444771873,4.0,1625.3281,1691306,"Olbut-Butler silt loams, 0 to 1 percent slopes"
2734,41.252877086956524,-97.14763814492754,182.80453425027727,4.0,1627.6247,1691306,"Olbut-Butler silt loams, 0 to 1 percent slopes"
2735,41.252877086956524,-97.14755068115942,180.27096025654458,4.0,1626.3123,1691306,"Olbut-Butler silt loams, 0 to 1 percent slopes"
2736,41.252877086956524,-97.1474632173913,177.5479737275487,4.0,1624.3438,1691306,"Olbut-Butler silt loams, 0 to 1 percent slopes"
2737,41.252877086956524,-97.14737575362318,174.8370007198398,3.0,1624.6719,1691306,"Olbut-Butler silt loams, 0 to 1 percent slopes"
2738,41.252877086956524,-97.14728828985507,172.40534960923625,3.0,1627.2966,1691306,"Olbut-Butler silt loams, 0 to 1 percent slopes"
2739,41.252877086956524,-97.14720082608696,170.48235608745637,3.0,1623.6877,1691306,"Olbut-Butler silt loams, 0 to 1 percent slopes"
2740,41.252877086956524,-97.14711336231883,169.50680557943548,3.0,1626.3123,1691306,"Olbut-Butler silt loams, 0 to 1 percent slopes"
